color_name,color_code,use
blue,#0072b2,
lightblue,#56b4e9,CD28
blue_lighter,#a1d4f3,CD28_low
blue_darker,#358cbf,CD28_high
orange,#e69f00,VAV1
orange_lighter,#ffd27a,VAV1_low
orange_darker,#a36d00,VAV1_high
,Oranges,VAV1_continuous
yellow,#f0e442,
pink,#cc79a7,OTUD7B
pink_lighter,#e8c3d8,OTUD7B_low
pink_darker,#b05b8e,OTUD7B_high
green,#009e73,IL2RA
green_lighter,#0cffb6,IL2RA_low
green_darker,#007655,IL2RA_high
red,#d55e00,
lightgrey,#D3D3D3,
dimgrey,#696969,greys
helvetica,,font
6,,font_size
salmon,#EE6677,MYBL2EGR
yellow ,#CCBB44,EGR
purple,#AA3377,MYBL2
,#B84A85,sequence
,#77D7C6,monomer
,#D6D66A,dimer
,#D96DC0,trimer
,yellowgreen,day7
,gold,day14
,deepskyblue,neutral
,mediumpurple,uORF
,slateblue,oORF_outframe
,Greens,IL2RA_continuous
,magenta,CD3
,deepskyblue,jurkat
,lightseagreen,jurkat_activated
,#0cffb6,IL2RA_sequence
,#009e73,IL2RA_motif
,#007655,IL2RA_homodimer
,#005C3E,IL2RA_homotrimer
,#ffd27a,VAV1_sequence
,#e69f00,VAV1_motif
,#a36d00,VAV1_homodimer
,#7a5100,VAV1_homotrimer
,#d3d3d3,other_sequence
,#a9a9a9,other_motif
,#696969,other_homodimer
,#1c1c1c,other_homotrimer
,darkorchid,positive
