,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
0,MA0490.1.JUNB,-0.056403828035713796,TF_decrease,0.12890952301995245_KS,0.01083431890201549,0.03292727728967632,True,False
1,MA0496.3.MAFK,0.028085125936904702,TF_increase,0.07945824115159036_KS,0.08440934536343452,0.1643018026806652,False,False
2,MA0478.1.FOSL2,-0.0456046137752445,TF_decrease,0.10597581243663047_KS,0.04770488107718251,0.1093080345941741,False,False
3,MA0502.1.NFYB,-0.30313882952726207,TF_decrease,0.32996003279360525_KS,3.136022561500629e-08,3.174200227466724e-07,True,True
4,MA0018.1.CREB1,-0.18480572367834244,TF_decrease,0.2163055121301604_KS,3.323465844242009e-08,3.311511033020558e-07,True,True
5,MA0477.1.FOSL1,-0.0609837654196423,TF_decrease,0.1320359706517214_KS,0.013015028311844343,0.038450489733469075,True,False
6,MA0496.4.MAFK,0.020201901365569847,TF_increase,0.07140900170757193_KS,0.21465582816716852,0.32746970378320334,False,False
7,MA1112.2.NR4A1,-0.0176072445441247,TF_decrease,0.10577350641899161_KS,0.3763804204906455,0.49559593829311244,False,False
8,MA0018.3.CREB1,-0.07868543176694305,TF_decrease,0.16274928774928774_KS,0.0024165201683985114,0.009044467768539767,True,True
9,MA0748.2.YY2,0.1952223696290398,TF_increase,0.29913719563631525_KS,7.463290652281848e-12,1.472418698178995e-10,True,True
10,MA1111.1.NR2F2,0.0006424954798966501,TF_increase,0.1088261195733716_KS,0.2564960361297143,0.37413707525687645,False,False
11,MA0060.2.NFYA,0.10286056118840195,TF_increase,0.1477358848048503_KS,3.85834300226966e-11,7.017361335377944e-10,True,True
12,MA0160.2.NR4A2,-0.00010940489957624727,TF_decrease,0.11400812927530485_KS,0.43994224330591253,0.5590532436769456,False,False
13,MA1951.1.FOS,-0.2789438068020814,TF_decrease,0.3078263991058341_KS,5.061969049819705e-11,8.539321701434981e-10,True,True
14,MA1951.2.FOS,-0.3182174191709936,TF_decrease,0.35231219128304037_KS,3.614979736357345e-13,8.766325860666561e-12,True,True
15,MA1475.1.CREB3L4,-0.2722769439969326,TF_decrease,0.29529830899693915_KS,2.6251246097087754e-07,2.1826036040721533e-06,True,True
16,MA0139.1.CTCF,0.011646638674313245,TF_increase,0.07337758112094395_KS,0.20274605296889234,0.3147646583902846,False,False
17,MA1540.1.NR5A1,0.1162989477272167,TF_increase,0.21111190800640703_KS,0.002909247644917458,0.010682537093640131,True,False
18,MA1633.1.BACH1,0.009913717219788905,TF_increase,0.05189114635828338_KS,0.5611067903024254,0.6705629403614201,False,False
19,MA1101.1.BACH2,-0.0122597521513398,TF_decrease,0.05265064640171613_KS,0.5044161061752916,0.6175493406046676,False,False
20,MA0496.2.MAFK,0.0802607044560907,TF_increase,0.10277589840015386_KS,0.010205868977172761,0.03125617811301525,True,False
21,MA0478.2.FOSL2,-0.0364037863915162,TF_decrease,0.10645028807453562_KS,0.06916505366534262,0.14427978936641364,False,False
22,MA1644.1.NFYC,0.10242866736616951,TF_increase,0.1460107115359758_KS,1.7727538665048966e-09,2.149464063137187e-08,True,True
23,MA0495.2.MAFF,0.040381411800617,TF_increase,0.07260067274640994_KS,0.16572655638064657,0.271468787796362,False,False
24,MA1466.1.ATF6,0.013565369756375602,TF_increase,0.11128187216206777_KS,0.30243613983070317,0.4227227171819425,False,False
25,MA1113.1.PBX2,-0.16270448855185166,TF_decrease,0.24707254699627618_KS,0.0009483247869882334,0.00408833352612705,True,True
26,MA0592.1.ESRRA,0.08776510854838178,TF_increase,0.1315850815850816_KS,0.1317764733383212,0.23065836836963294,False,False
27,MA1117.1.RELB,0.055971424570589,TF_increase,0.2695741758241758_KS,0.03836574164282775,0.091699637109346,False,False
28,MA0060.3.NFYA,0.1316253318684469,TF_increase,0.17947523519863845_KS,1.115819506971927e-15,3.935799715500979e-14,True,True
29,MA0499.2.MYOD1,0.1013797904790453,TF_increase,0.140969071089553_KS,0.4916185156857375,0.6055491558287814,False,False
30,MA0090.1.TEAD1,0.08813087042079659,TF_increase,0.16128641568145188_KS,0.2676426294625267,0.38604215699427646,False,False
31,MA0609.2.CREM,-0.0761975984088405,TF_decrease,0.21825370471219024_KS,0.0010725013340259818,0.0044906170964253336,True,True
32,MA1976.2.ZNF320,0.11753119999395381,TF_increase,0.17875892882687852_KS,2.0047345916130547e-16,8.975042556298445e-15,True,True
33,MA1466.2.ATF6,0.0171278377181405,TF_increase,0.10120729637332951_KS,0.43031097672122987,0.5486111466632109,False,False
34,MA1975.1.ZNF214,-0.1270191702490178,TF_decrease,0.16428647580777303_KS,1.1007234774130294e-11,2.1003969306701086e-10,True,True
35,MA0745.2.SNAI2,-0.1555163233219134,TF_decrease,0.28024246329822583_KS,0.11479766183506168,0.20716973391629734,False,False
36,MA1975.2.ZNF214,-0.13741827199605067,TF_decrease,0.1809997118985883_KS,1.4983295561281138e-14,4.471937444443909e-13,True,True
37,MA1596.1.ZNF460,0.23732495031042078,TF_increase,0.319570821959357_KS,2.7989468945820115e-10,3.931316189262949e-09,True,True
38,MA0814.2.TFAP2C,0.195294731852896,TF_increase,0.2444091655858193_KS,2.566518695443413e-26,2.9874277614961324e-24,True,True
