,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
0,MA0496.3.MAFK,-0.1758165558613728,TF_decrease,0.0898876404494382_KS,0.032491223185447574,0.16547521188694758,False,False
1,MA0638.2.CREB3,-0.4122156274526344,TF_decrease,0.11490991630018442_KS,0.03628530834852298,0.17924630862296112,False,False
2,MA1466.2.ATF6,-0.0221562265840549,TF_decrease,0.032472763109933085_KS,0.9230059337657623,0.9832548413952902,False,False
3,MA0638.1.CREB3,-0.39870901785708995,TF_decrease,0.11333071257138128_KS,0.030289326426162014,0.1593976426529571,False,False
4,MA1466.1.ATF6,-0.01777462743706085,TF_decrease,0.030027193531308657_KS,0.9582461624440106,0.992746474323183,False,False
5,MA1101.1.BACH2,-0.02399770708716745,TF_decrease,0.05285173150458683_KS,0.4075241799163607,0.7609357150742446,False,False
6,MA0839.1.CREB3L1,-0.18741273713046872,TF_decrease,0.058496110630942094_KS,0.5503112461207371,0.8536499249123565,False,False
7,MA0844.2.XBP1,-0.30796854723135847,TF_decrease,0.08455748879701326_KS,0.023857346513112138,0.13952164392325858,False,False
8,MA1713.2.ZNF610,-0.7097486733486912,TF_decrease,0.17000740784799312_KS,0.02113251056306942,0.12894944346553378,False,False
9,MA1633.1.BACH1,-0.2775837426951137,TF_decrease,0.0929789225559525_KS,0.023446511649126037,0.13910791189764984,False,False
10,MA0839.2.CREB3L1,-0.181983953541128,TF_decrease,0.060799241326624696_KS,0.5251352169830693,0.8372945324361117,False,False
11,MA0156.3.FEV,-0.6481303456360894,TF_decrease,0.1826692559254597_KS,4.210306081960446e-08,1.2115155750841184e-05,True,True
12,MA1119.1.SIX2,0.0084103253022868,TF_increase,0.07245891396066886_KS,0.4035595221010894,0.7577438987575105,False,False
13,MA0496.2.MAFK,-0.2572913156388318,TF_decrease,0.06633949816136708_KS,0.22109393750663786,0.5880714331141057,False,False
14,MA1151.1.RORC,0.0837749931813313,TF_increase,0.05438324788555377_KS,0.8484205323821048,0.9575933695035009,False,False
15,MA1642.1.NEUROG2,-0.1265841430804783,TF_decrease,0.07352604932222767_KS,0.8581693357497451,0.9575933695035009,False,False
16,MA0496.4.MAFK,-0.2971433795133409,TF_decrease,0.103133599512605_KS,0.016478857911417934,0.10963679454359562,False,False
17,MA1537.2.NR2F1,-0.05268349623128775,TF_decrease,0.06795224977043159_KS,0.2576006120329283,0.6228955975838245,False,False
18,MA0017.1.NR2F1,-0.07496519783705616,TF_decrease,0.052036879733842994_KS,0.6711286548353718,0.9126347431279225,False,False
19,MA0072.1.RORA,-0.0797116433346931,TF_decrease,0.05919642857142857_KS,0.27290160233022565,0.6384344395977433,False,False
20,MA0856.1.RXRG,-0.17972980709226405,TF_decrease,0.0744183944069431_KS,0.16662832023299282,0.5025347707631594,False,False
21,MA1467.1.ATOH1,-0.444468875131935,TF_decrease,0.13150461965627844_KS,0.06817366611228352,0.2753259287552222,False,False
22,MA0072.2.RORA,-0.11192302253068478,TF_decrease,0.06130620018426797_KS,0.2556691688494876,0.6221463284265544,False,False
23,MA0017.2.NR2F1,-0.3097593046035887,TF_decrease,0.09456987042470662_KS,0.0034408591616851628,0.037279106736063154,True,False
24,MA1112.2.NR4A1,0.1880823239975191,TF_increase,0.061472520714317094_KS,0.4258524467909329,0.7731169814769145,False,False
25,MA0018.3.CREB1,-0.570015673116476,TF_decrease,0.16066178810054088_KS,0.00039522249103365854,0.00947710598291127,True,True
26,MA0490.1.JUNB,-0.3001277121154792,TF_decrease,0.07636837978264215_KS,0.2627350609940978,0.6276147414220642,False,False
27,MA1111.1.NR2F2,0.02441051293533415,TF_increase,0.045669490301776_KS,0.5970702275568437,0.8710111938123284,False,False
28,MA1537.1.NR2F1,-0.05268349623128775,TF_decrease,0.07423307606290223_KS,0.18428549091821675,0.5369939241692848,False,False
29,MA0499.2.MYOD1,-0.0882988149959343,TF_decrease,0.09379282342790438_KS,0.3345957090674331,0.705347364719076,False,False
30,MA1151.2.RORC,-0.010482203260107001,TF_decrease,0.05522289870983151_KS,0.9071367266980244,0.9756295199503116,False,False
31,MA0160.2.NR4A2,0.13346231703932446,TF_increase,0.05949197860962567_KS,0.5889082606205225,0.8710111938123284,False,False
32,MA0071.1.RORA,0.0670117335780204,TF_increase,0.0626514958144769_KS,0.3334787895786743,0.7042827280826681,False,False
33,MA0761.2.ETV1,-0.2739225086975217,TF_decrease,0.1628088319789871_KS,0.07222282824703499,0.2858544569075393,False,False
34,MA1715.1.ZNF707,0.01269850378688425,TF_increase,0.01771417327853542_KS,0.9899323667219952,0.9951197852375689,False,False
35,MA1475.1.CREB3L4,-0.5585395050949526,TF_decrease,0.14585233650264576_KS,0.0022004188443899126,0.02911128838957229,True,False
36,MA1150.2.RORB,-0.0496231257049781,TF_decrease,0.08396913526814972_KS,0.2855228195156332,0.6503636626424756,False,False
37,MA0669.1.NEUROG2,0.100380424924614,TF_increase,0.07908351810790835_KS,0.2766566093669468,0.6425636809713107,False,False
38,MA1484.1.ETS2,-0.10116554944002355,TF_decrease,0.08462436332767402_KS,0.73079016170533,0.9338743611357573,False,False
39,MA0844.1.XBP1,-0.39319577161309377,TF_decrease,0.10341885098410225_KS,0.006040689540764711,0.053474232699833917,False,False
40,MA1540.1.NR5A1,0.08922341296284701,TF_increase,0.10427420491078862_KS,0.22640022593783743,0.5935914807618471,False,False
41,MA1720.1.ZNF85,0.1082455098648353,TF_increase,0.07280060234283346_KS,0.8199135373704366,0.9557770396644278,False,False
42,MA0474.2.ERG,-0.4014039453369635,TF_decrease,0.12010132320101323_KS,0.00023457793461468602,0.006585346408329356,True,True
43,MA0079.2.SP1,-0.7090751772018828,TF_decrease,0.2826357231661832_KS,0.5403200766041143,0.8472866596339722,False,False
44,MA0759.2.ELK3,-0.4570855806232665,TF_decrease,0.12876880188708145_KS,2.448664088733348e-05,0.0010627434923705286,True,True
45,MA0138.3.REST,0.0319082382851425,TF_increase,0.03794319063522585_KS,0.6087603505313637,0.8802552304793964,False,False
46,MA0478.1.FOSL2,-0.2946136049421461,TF_decrease,0.08482000757862827_KS,0.26452632332898557,0.6290698308918644,False,False
47,MA1474.1.CREB3L4,-0.0422996169334801,TF_decrease,0.03145292943950662_KS,0.9938353613953542,0.9954444814432731,False,False
48,MA1550.2.PPARD,-0.2637925993345306,TF_decrease,0.09221250390792564_KS,0.03903065966644621,0.18817698170390204,False,False
49,MA0062.3.GABPA,-0.1255947612674054,TF_decrease,0.125778666720542_KS,0.2628238969291355,0.6276147414220642,False,False
50,MA1524.1.MSGN1,0.3545276925292046,TF_increase,0.14490405117270788_KS,0.08519513262414193,0.3215068775422536,False,False
51,MA0489.1.JUN,0.3044012190188871,TF_increase,0.09967850933307089_KS,0.09225232708454777,0.3403282963920336,False,False
52,MA1655.1.ZNF341,-0.1531259340790595,TF_decrease,0.08240502018777059_KS,0.7827015958631575,0.9557770396644278,False,False
53,MA0592.1.ESRRA,0.22913462325202388,TF_increase,0.0828053332510142_KS,0.20818370458224109,0.5746269639668093,False,False
54,MA0777.1.MYBL2,0.4789403152829429,TF_increase,0.18098954686483745_KS,0.00028018921224802766,0.007329495074942723,True,True
55,MA0101.1.REL,0.18945488600156668,TF_increase,0.10505866887384975_KS,0.017036484518363745,0.11141473682179925,False,False
56,MA1472.1.BHLHA15,-0.7021565621803992,TF_decrease,0.19857718295218296_KS,0.031030275659368674,0.16016075015216746,False,False
57,MA0819.1.CLOCK,0.5432640689381389,TF_increase,0.2186046511627907_KS,0.009876941861370747,0.07382052001582942,False,False
58,MA0665.1.MSC,-0.60277653868871,TF_decrease,0.1572938689217759_KS,0.1261093830424608,0.42318338157980284,False,False
59,MA0039.3.KLF4,0.30532175520756105,TF_increase,0.3705703211517165_KS,0.055944484479433565,0.23500767020375193,False,False
60,MA0477.1.FOSL1,-0.2939909190787592,TF_decrease,0.07196269506017254_KS,0.28570890138385135,0.6503636626424756,False,False
61,MA1521.2.MAFA,-0.5866302833089989,TF_decrease,0.14562813726313956_KS,0.006361935598253037,0.053474232699833917,False,False
62,MA1593.1.ZNF317,0.053086008304028,TF_increase,0.12826774365235905_KS,0.32164129582491796,0.691506025396899,False,False
63,MA1713.1.ZNF610,-1.1373979146157476,TF_decrease,0.2885614035087719_KS,0.0009475667496143689,0.016038960717737333,True,False
64,MA1717.1.ZNF784,0.029128521314769302,TF_increase,0.08857142857142856_KS,0.6276417323495789,0.885935962007841,False,False
65,MA1480.1.DPRX,0.017340561010379948,TF_increase,0.04200731497418245_KS,0.9945796295914545,0.9954444814432731,False,False
66,MA0504.2.NR2C2,-0.06643034324127996,TF_decrease,0.05452260366249189_KS,0.08172277215779856,0.3125013646299872,False,False
67,MA0765.3.ETV5,-0.5109525810407529,TF_decrease,0.13956292459557856_KS,1.8865390413930198e-06,0.00013571290229021037,True,True
68,MA0156.2.FEV,-0.451436701395369,TF_decrease,0.12732821976811717_KS,1.0585854180398887e-05,0.0005297529635495269,True,True
69,MA0763.1.ETV3,-0.2581729719154356,TF_decrease,0.09273356332203384_KS,0.0015078419420038421,0.022250334298031058,True,False
70,MA0079.1.SP1,-1.3378521627305247,TF_decrease,0.643773272652048_KS,0.09291961676735681,0.3406066206981774,False,False
71,MA0138.2.REST,-0.0431397800286488,TF_decrease,0.04741159150316979_KS,0.4076544954315851,0.7609357150742446,False,False
72,MA0592.3.ESRRA,0.18024328851033788,TF_increase,0.07433998179260118_KS,0.3232234940604098,0.691506025396899,False,False
73,MA1468.1.ATOH7,-0.1038998812954401,TF_decrease,0.07074013712487355_KS,0.5723834997407878,0.8645845251990116,False,False
74,MA1550.1.PPARD,-0.264265651338328,TF_decrease,0.08564355355857527_KS,0.06678826255970437,0.27123502805061805,False,False
75,MA0656.1.JDP2,-0.29980324189619445,TF_decrease,0.1351320879693897_KS,0.0028925553516442734,0.033629608179217764,True,False
76,MA0609.2.CREM,-0.7316276041889602,TF_decrease,0.21631153455359378_KS,4.331355715163923e-05,0.0015149694836014784,True,True
77,MA0106.1.TP53,0.1253340395830301,TF_increase,0.04964985596273958_KS,0.1130012371894483,0.3989706257823773,False,False
78,MA1652.2.ZKSCAN5,-1.9471364946062,TF_decrease,0.4622494924635084_KS,1.214987724825615e-07,2.3307514521238043e-05,True,True
79,MA0499.3.MYOD1,-0.2755281599699372,TF_decrease,0.09057398630858346_KS,0.3931912110052031,0.7473287295292663,False,False
80,MA1474.2.CREB3L4,-0.2419925675847442,TF_decrease,0.06313713013044861_KS,0.515163088066548,0.8281462491125653,False,False
81,MA1568.1.TCF21,-0.1790243074624895,TF_decrease,0.07778305120497811_KS,0.5913316235426127,0.8710111938123284,False,False
82,MA1641.1.MYF5,-0.6718721305206837,TF_decrease,0.2074915824915825_KS,0.04169794517706494,0.19702429083538284,False,False
83,MA1521.1.MAFA,-0.606690786183365,TF_decrease,0.16726012438873855_KS,0.003088834437111763,0.034516975117627566,True,False
84,MA1520.2.MAF,-0.48962884226135145,TF_decrease,0.13745986823085468_KS,0.02971204080226577,0.1593976426529571,False,False
85,MA1140.2.JUNB,-0.503791998242225,TF_decrease,0.15529053539710733_KS,0.0009258307341958751,0.01590494291133511,True,False
86,MA1720.2.ZNF85,0.14404858889301142,TF_increase,0.09773297246294044_KS,0.689483196060902,0.916407424202413,False,False
87,MA0764.3.ETV4,-0.6727800811982156,TF_decrease,0.17493172794887538_KS,3.1121307215543825e-08,1.2115155750841184e-05,True,True
88,MA1638.1.HAND2,-0.49289834803762345,TF_decrease,0.1335915262936867_KS,0.00234029725568672,0.029904346791516812,True,False
89,MA1585.1.ZKSCAN1,0.1412677759526034,TF_increase,0.15160227613057803_KS,0.3685216613272398,0.7322157275133551,False,False
90,MA1568.2.TCF21,-0.3428334936841803,TF_decrease,0.09364002289964542_KS,0.36429945863422647,0.7322157275133551,False,False
91,MA0855.1.RXRB,-0.058569737094906205,TF_decrease,0.05777313403375678_KS,0.5208266086839639,0.8349184214418419,False,False
92,MA0475.3.FLI1,-0.30399420383685344,TF_decrease,0.09934964268158959_KS,0.001844999559906077,0.02589749382258408,True,False
93,MA0156.4.FEV,-0.5175440412623509,TF_decrease,0.13416370968336155_KS,1.2598144520701217e-06,9.666976228884735e-05,True,True
94,MA0765.4.ETV5,-0.521201977120971,TF_decrease,0.13700882065247835_KS,9.589021162146637e-07,9.197469464692315e-05,True,True
95,MA0764.4.ETV4,-0.5526229222533114,TF_decrease,0.15157680855973749_KS,2.3378798275081705e-06,0.00014162629902431077,True,True
96,MA0763.2.ETV3,-0.1447204982768481,TF_decrease,0.07215414796479083_KS,0.018790520785426906,0.11952121751511148,False,False
97,MA0098.4.ETS1,-0.4831251684682365,TF_decrease,0.1284182823752764_KS,0.00012113257890516426,0.0038728777311067795,True,True
98,MA0760.2.ERF,-0.0848866963345917,TF_decrease,0.03908043728620436_KS,0.408079126197248,0.7609357150742446,False,False
99,MA0759.3.ELK3,-0.4005054633145483,TF_decrease,0.1112451245191402_KS,0.00018701700609275186,0.005519399333660447,True,True
100,MA0028.3.ELK1,-0.5513372300664664,TF_decrease,0.1540131478367222_KS,4.582179449415294e-06,0.00025114707363223823,True,True
101,MA0076.1.ELK4,-0.580272586941323,TF_decrease,0.1522837066315327_KS,3.596498854277433e-07,4.139570181273325e-05,True,True
102,MA1725.2.ZNF189,-0.42668681845741974,TF_decrease,0.1294107664521134_KS,0.059178200622386705,0.24589931016739025,False,False
103,MA0028.2.ELK1,-0.6462825050231586,TF_decrease,0.17635933806146573_KS,1.0090341597847881e-07,2.322796635824582e-05,True,True
104,MA0760.1.ERF,-0.11283995586325254,TF_decrease,0.05692093910735026_KS,0.08611499087763412,0.32376645286479067,False,False
105,MA0759.1.ELK3,-0.5194776931537239,TF_decrease,0.14478236181555068_KS,2.3094484742853846e-06,0.00014162629902431077,True,True
106,MA1475.2.CREB3L4,-0.299120220223707,TF_decrease,0.09038539360613201_KS,0.08266844407346625,0.31507079181642267,False,False
107,MA0667.1.MYF6,0.0312302955878558,TF_increase,0.058354982253983355_KS,0.6758254007350464,0.9126347431279225,False,False
108,MA1114.1.PBX3,0.16039266470479432,TF_increase,0.05746566833428466_KS,0.6905660816523382,0.916407424202413,False,False
109,MA1647.1.PRDM4,-0.3686007917886855,TF_decrease,0.15273890443822472_KS,0.27485907633668094,0.6404471269821935,False,False
110,MA1520.1.MAF,-0.611935378793698,TF_decrease,0.17203068951773615_KS,0.0047859737465038715,0.0473352544274183,True,False
111,MA0495.2.MAFF,-0.3657708065684039,TF_decrease,0.11005513102857059_KS,0.242622925523454,0.6090981537936239,False,False
112,MA1140.3.JUNB,-0.5302156644868097,TF_decrease,0.15693264582829536_KS,0.0006921388965774631,0.013187256410164347,True,False
113,MA0656.2.JDP2,-0.3035406826700008,TF_decrease,0.12713827998453728_KS,0.006455182647712295,0.053839965416788774,False,False
114,MA0080.5.SPI1,-0.9976351608476398,TF_decrease,0.23635294299732243_KS,0.0851688462240665,0.3215068775422536,False,False
115,MA0765.1.ETV5,-0.2437313482373703,TF_decrease,0.06845692198148713_KS,0.01617178664592143,0.10856627724101695,False,False
116,MA0098.3.ETS1,-0.5156897411953286,TF_decrease,0.13610352912978826_KS,0.0001067221995295425,0.0035096357616715263,True,True
117,MA0475.2.FLI1,-0.4375188976916984,TF_decrease,0.12591584158415842_KS,4.4751487786664e-05,0.0015149694836014784,True,True
118,MA0605.2.ATF3,-0.364846717544369,TF_decrease,0.12196263397445309_KS,0.00854164206645453,0.06688047631625282,False,False
119,MA0017.3.NR2F1,-0.3142530854317029,TF_decrease,0.09622602559771798_KS,0.0027055823208738845,0.03195823440941565,True,False
120,MA0761.3.ETV1,-0.33690280179332255,TF_decrease,0.16155120105313323_KS,0.018233285045384778,0.11822129291964148,False,False
121,MA2332.1.ZNF175,-0.765020746628875,TF_decrease,0.1802311042328217_KS,0.005815348720470229,0.05312274902588281,False,False
122,MA0635.1.BARHL2,-0.1732888858082417,TF_decrease,0.14178482068390325_KS,0.7224676834850133,0.929117657755587,False,False
123,MA0762.2.ETV2,-0.1204195875196502,TF_decrease,0.1312827849308536_KS,0.09188110121350866,0.34004870577732627,False,False
124,MA0592.4.ESRRA,0.1592521271225723,TF_increase,0.07103452072895447_KS,0.28536220419121344,0.6503636626424756,False,False
125,MA0079.4.SP1,-0.2872576237013624,TF_decrease,0.33540372670807456_KS,0.5266735373446958,0.8372945324361117,False,False
126,MA0609.3.CREM,-0.7321086248788871,TF_decrease,0.19572053348754834_KS,4.426244065340078e-05,0.0015149694836014784,True,True
127,MA0765.2.ETV5,-0.6088209675163676,TF_decrease,0.1711201778428519_KS,3.277787155231835e-05,0.0013009424191971868,True,True
128,MA1653.2.ZNF148,-0.7234695137365197,TF_decrease,0.31457729968280235_KS,0.8452773073384086,0.9557770396644278,False,False
129,MA1972.1.ZFP14,-0.9420437657373257,TF_decrease,0.20549682875264272_KS,0.018282702119631785,0.11822129291964148,False,False
130,MA0062.1.GABPA,-0.4606421014637756,TF_decrease,0.15709822300331966_KS,0.0021844423496728766,0.02911128838957229,True,False
131,MA0868.2.SOX8,0.5011119265075922,TF_increase,0.173943201944899_KS,0.04282796717901916,0.19727470647366094,False,False
132,MA0750.2.ZBTB7A,-0.1671827352501234,TF_decrease,0.13268975960628432_KS,0.1557176436758076,0.48704078225775693,False,False
133,MA1511.1.KLF10,0.14333786225631096,TF_increase,0.5363937138130687_KS,0.4304784095606751,0.7776123757088592,False,False
134,MA1117.1.RELB,0.2423774614595463,TF_increase,0.08771398491469447_KS,0.966092252326155,0.993339792511444,False,False
135,MA0746.3.SP3,0.5215222857672922,TF_increase,0.40074441687344914_KS,0.818932076980106,0.9557770396644278,False,False
136,MA0062.4.GABPA,-0.6653527799504624,TF_decrease,0.17482108952826056_KS,0.013714836725354925,0.09684525810357987,False,False
137,MA0162.2.EGR1,2.0382296768281347,TF_increase,0.9210417527904092_KS,0.15867768595041287,0.4922857588380734,False,False
138,MA1630.3.ZNF281,-1.1761141799254107,TF_decrease,0.28504575707154745_KS,0.1231390940698744,0.4168620508071337,False,False
139,MA0605.3.ATF3,-0.3859614293816387,TF_decrease,0.12696345410056042_KS,0.004139485411308606,0.04313568084332723,True,False
140,MA0081.3.SPIB,-1.0855632637220967,TF_decrease,0.24438454627133874_KS,0.026729744429325457,0.14934920309783303,False,False
141,MA0504.1.NR2C2,-0.13418793131131,TF_decrease,0.07018351039933574_KS,0.0098059939999305,0.07376927512366016,False,False
142,MA0761.1.ETV1,-0.4596211295868835,TF_decrease,0.12631993695823482_KS,2.6918424746246914e-06,0.00015491553441465098,True,True
143,MA0107.1.RELA,0.1897685336844454,TF_increase,0.13565426956652718_KS,0.0016786452630108747,0.02415150872156896,True,False
144,MA0782.3.PKNOX1,0.2361972746212827,TF_increase,0.08879493486304268_KS,0.39434139850364053,0.7473287295292663,False,False
145,MA0745.2.SNAI2,-0.3692806089672186,TF_decrease,0.10609808102345415_KS,0.360479127236528,0.7316880167126281,False,False
146,MA1106.1.HIF1A,-0.5483822247873984,TF_decrease,0.21718036529680365_KS,0.0007735202364120861,0.01400523568241355,True,False
147,MA1480.2.DPRX,0.05301093384575885,TF_increase,0.054034395488332235_KS,0.9575115400340478,0.992746474323183,False,False
148,MA1585.2.ZKSCAN1,0.2131979953610464,TF_increase,0.14774472838988967_KS,0.43450415091629363,0.7790006844820757,False,False
149,MA2100.1.ZSCAN16,-0.004358419933143651,TF_decrease,0.03720653041586021_KS,0.9795710408910421,0.993339792511444,False,False
150,MA0649.2.HEY2,-0.027117023647038857,TF_decrease,0.09411764705882353_KS,0.8450065624278755,0.9557770396644278,False,False
151,MA0081.2.SPIB,-0.3292223430722489,TF_decrease,0.19468986401424504_KS,0.10992346486260225,0.3917086936744743,False,False
152,MA0764.1.ETV4,-0.5470229192669676,TF_decrease,0.1488299029282636_KS,5.183628724817535e-07,5.4239606020590745e-05,True,True
153,MA0058.2.MAX,0.1838398533319662,TF_increase,0.07723646041872166_KS,0.7620135456446195,0.9520743746921628,False,False
154,MA1730.1.ZNF708,-0.3604502960810962,TF_decrease,0.22748414376321352_KS,0.006364873918225236,0.053474232699833917,False,False
155,MA1112.1.NR4A1,0.053296227796551805,TF_increase,0.041820463211561534_KS,0.7120782627527039,0.9237415848613136,False,False
156,MA0150.1.NFE2L2,-0.30368950747509804,TF_decrease,0.08091220502410555_KS,0.24345096764500307,0.6091566603465185,False,False
157,MA1951.2.FOS,-0.6934962148808931,TF_decrease,0.18197702921839842_KS,0.0024924206716869447,0.030197644138017617,True,False
158,MA1150.1.RORB,-0.0667741934380376,TF_decrease,0.09355570249987796_KS,0.3653541228671966,0.7322157275133551,False,False
159,MA2121.1.ZNF213,0.06013950185407779,TF_increase,0.10821072615092549_KS,0.2048900894051261,0.5710133000128332,False,False
160,MA1632.1.ATF2,-0.7976379588351308,TF_decrease,0.18149291770818016_KS,0.00013242409886147613,0.004119463183501595,True,True
161,MA0833.1.ATF4,-0.17052639921396862,TF_decrease,0.09046832161673497_KS,0.2132096466918934,0.5838466955127278,False,False
162,MA0473.3.ELF1,-0.13234449678864035,TF_decrease,0.16540084388185655_KS,0.12222154842733313,0.4162041486386403,False,False
163,MA1564.1.SP9,-0.2132040324392856,TF_decrease,0.3831814415907208_KS,0.2684993758340184,0.6339948624249025,False,False
164,MA0076.2.ELK4,-0.3291370194882565,TF_decrease,0.16671842719993518_KS,0.32539516562782034,0.6948605484928037,False,False
165,MA0162.4.EGR1,0.09720276576812535,TF_increase,0.273424543946932_KS,0.5063739951509689,0.8239640616896087,False,False
166,MA1630.2.ZNF281,-1.1761141799254107,TF_decrease,0.28504575707154745_KS,0.1231390940698744,0.4168620508071337,False,False
167,MA0597.2.THAP1,-0.2103831236424964,TF_decrease,0.08152543077754827_KS,0.562828991638053,0.8591726384289111,False,False
168,MA1564.2.SP9,-0.2929007720084433,TF_decrease,0.3830227743271222_KS,0.3588351222892734,0.7297159465635223,False,False
169,MA1123.1.TWIST1,-0.4368219340705205,TF_decrease,0.12870199196679807_KS,0.2892151473807036,0.6527188914415487,False,False
170,MA1119.2.SIX2,0.5171944840855158,TF_increase,0.15848406546080965_KS,0.015686756152239207,0.10747295435254361,False,False
171,MA1484.2.ETS2,-0.0755606817660443,TF_decrease,0.09555313101550393_KS,0.6142732983835432,0.882682355105441,False,False
