,TF,log2FC,change_type,t,p,BH_q,BH_sig5,BH_sig1
0,MA0527.1.ZBTB33,-0.0568562123069087,TF_decrease,0.11979166666666667_KS,0.0004540391525412423,0.008358786365636313,True,True
1,MA0048.1.NHLH1,-0.08239453709484075,TF_decrease,0.11120340144747388_KS,0.0007387804881619013,0.011852149831511645,True,False
2,MA1584.1.ZIC5,0.0272211845022394,TF_increase,0.07339554614880682_KS,0.05200866258983395,0.17486744936641774,False,False
3,MA0830.2.TCF4,-0.08329715223226579,TF_decrease,0.1210854178786116_KS,0.004894080878783477,0.0376441974443414,True,False
4,MA0697.1.ZIC3,-0.032153086677442454,TF_decrease,0.06356632264178151_KS,0.17342845847421987,0.38719713492355645,False,False
5,MA0522.3.TCF3,-0.050016262202279,TF_decrease,0.06913101001178973_KS,0.18839635733914292,0.40686367171511056,False,False
6,MA1108.1.MXI1,-0.013704459084270698,TF_decrease,0.035618968187775525_KS,0.9480871778124544,0.9714433400395861,False,False
7,MA1584.2.ZIC5,0.0281926498793364,TF_increase,0.07737092583342046_KS,0.04305602673065927,0.15547240520427769,False,False
8,MA1483.2.ELF2,0.18357338886539334,TF_increase,0.21472348467803626_KS,5.62533335168189e-06,0.0002985131254291865,True,True
9,MA0696.1.ZIC1,-0.0104452061043718,TF_decrease,0.04332406337797173_KS,0.25815285320539555,0.4839827281296481,False,False
10,MA0597.2.THAP1,-0.046594230972728,TF_decrease,0.092125337650736_KS,0.162508234797289,0.36942661473148897,False,False
11,MA1596.1.ZNF460,-0.044261406535668846,TF_decrease,0.07628007637198746_KS,0.005660206243103383,0.03972757256878187,True,False
12,MA1712.1.ZNF454,0.0187680999235738,TF_increase,0.027538087723545695_KS,0.8094014825911562,0.884200257733335,False,False
13,MA0736.1.GLIS2,-0.052467359185848494,TF_decrease,0.08524350581287397_KS,0.20345804229499473,0.4224892022611172,False,False
14,MA0499.2.MYOD1,-0.0755595534583341,TF_decrease,0.11036914765906362_KS,0.07717966174874087,0.2261237184607074,False,False
15,MA1712.2.ZNF454,0.028703052588809102,TF_increase,0.038054892447973596_KS,0.5158448723574759,0.7205146662406038,False,False
16,MA2328.1.ZBED4,-0.0513028778942272,TF_decrease,0.12400373970170232_KS,0.0010051804327888974,0.013280207364963903,True,False
17,MA1648.1.TCF12,-0.05211494217115835,TF_decrease,0.07511492491572173_KS,0.12716086696449774,0.3090944883141363,False,False
18,MA0103.3.ZEB1,-0.0337186567557339,TF_decrease,0.07159246731092336_KS,0.3054301579523621,0.5346286449938211,False,False
19,MA0641.1.ELF4,0.09077350218790879,TF_increase,0.12061698457538561_KS,0.008759381619487305,0.0512332581181471,False,False
20,MA0147.3.MYC,0.0167035609876319,TF_increase,0.07811629724866655_KS,0.18509394282059782,0.4011705066716256,False,False
21,MA0473.2.ELF1,0.04093983042559185,TF_increase,0.10537057554376349_KS,0.07122481430346174,0.21216304101535155,False,False
22,MA1635.1.BHLHE22,-0.0759191725524698,TF_decrease,0.14209841187190836_KS,0.002951914484200676,0.0271721308668636,True,False
23,MA1558.1.SNAI1,-0.032982515467821404,TF_decrease,0.06860029771302269_KS,0.6981611636900747,0.8244321628012133,False,False
24,MA0830.1.TCF4,0.0442942113188924,TF_increase,0.11484777517564403_KS,0.08310575705133283,0.23808103359348665,False,False
25,MA0048.2.NHLH1,-0.0018171800231592998,TF_decrease,0.06909730523583456_KS,0.3433016403415381,0.5677875435987442,False,False
26,MA0799.2.RFX4,-0.24535255750790871,TF_decrease,0.3431088816001029_KS,5.9735487314157855e-22,2.236098408459976e-19,True,True
27,MA1719.2.ZNF816,0.06622636355000261,TF_increase,0.16890872896181455_KS,0.0022388751416559933,0.022413521548962662,True,False
28,MA0909.2.HOXD13,-0.1178088178257204,TF_decrease,0.1669034005849284_KS,0.0014140042895436945,0.017184740451107863,True,False
29,MA0522.2.TCF3,-0.0672442822438304,TF_decrease,0.08827942923301306_KS,0.3836897612622501,0.6038840375234571,False,False
30,MA0138.1.REST,-0.0084106660663604,TF_decrease,0.027063764265129454_KS,0.6165863503963737,0.7756659325212666,False,False
31,MA0090.1.TEAD1,0.1210000741013726,TF_increase,0.1716265088929789_KS,0.002792450782929602,0.026132685243582858,True,False
32,MA1483.1.ELF2,0.0552264043493019,TF_increase,0.11543761916775215_KS,0.015898309301930074,0.07814673153775685,False,False
33,MA0060.1.NFYA,0.0264109670155903,TF_increase,0.09528280993931877_KS,0.28526529992616173,0.5175330077820349,False,False
34,MA1102.1.CTCFL,-0.01133981359792945,TF_decrease,0.07429682462927144_KS,0.1300082290282351,0.3133030927010902,False,False
35,MA0473.1.ELF1,0.006942467544886101,TF_increase,0.10759829597038899_KS,0.24443587110013942,0.46604666085816054,False,False
36,MA0516.2.SP2,-0.0038317276515182006,TF_decrease,0.04719359331476323_KS,0.4010648871863645,0.6186756432833617,False,False
37,MA1106.1.HIF1A,0.033022452792636894,TF_increase,0.08327089227005123_KS,0.6057867530211726,0.7756659325212666,False,False
38,MA0748.2.YY2,0.04370437947930355,TF_increase,0.09424779010032466_KS,0.039280611871472595,0.14606664613133685,False,False
39,MA1713.1.ZNF610,-0.0757617866662134,TF_decrease,0.1465784688486315_KS,6.150395444601637e-05,0.0020929982073598905,True,True
40,MA1102.2.CTCFL,-0.0178624607407604,TF_decrease,0.08459862918795458_KS,0.21047261432022318,0.4266439456346762,False,False
41,MA0737.1.GLIS3,0.026933655314461402,TF_increase,0.0981381433928515_KS,0.16554094619023668,0.37316912756406634,False,False
42,MA1464.1.ARNT2,-0.05254978123596214,TF_decrease,0.08858342878961435_KS,0.10701197618266371,0.27374589807091426,False,False
43,MA0100.3.MYB,-0.0533972292986572,TF_decrease,0.12326223288566385_KS,0.015562153164611544,0.07767243557270562,False,False
44,MA0516.1.SP2,0.04374055666234685,TF_increase,0.07814352605454071_KS,0.20353219806167802,0.4224892022611172,False,False
45,MA0112.1.ESR1,-0.07486205777755829,TF_decrease,0.12120904313938795_KS,0.0004832934975748215,0.008614898377405152,True,True
46,MA0913.2.HOXD9,-0.16520015640133162,TF_decrease,0.3112999823850625_KS,0.006895410091528908,0.044727781593946976,True,False
47,MA0645.1.ETV6,0.1452752056388826,TF_increase,0.20148089505669778_KS,0.008209477509958521,0.048522332861491685,True,False
48,MA1711.1.ZNF343,0.1008144412200781,TF_increase,0.13745965600359522_KS,8.867212440628498e-05,0.0028451084488073726,True,True
49,MA1483.3.ELF2,0.18489776194145643,TF_increase,0.2285526909046194_KS,5.847986428710689e-06,0.0002985131254291865,True,True
50,MA0745.2.SNAI2,-0.10117529822370225,TF_decrease,0.16773182957393484_KS,0.02177064570174526,0.09650320386063692,False,False
51,MA1719.1.ZNF816,0.0136927760984755,TF_increase,0.1607909999399902_KS,0.020077774891442336,0.09317083141772621,False,False
52,MA0632.2.TCFL5,0.07565776691465553,TF_increase,0.12195431472081218_KS,0.05879288853192974,0.1881629440484162,False,False
53,MA0616.2.HES2,0.1096367409444341,TF_increase,0.16196126795773474_KS,0.005447461631503785,0.039419857501933775,True,False
54,MA0500.2.MYOG,-0.0878180956986973,TF_decrease,0.16795881043256997_KS,0.0016747892170394605,0.019300760801637624,True,False
55,MA0131.2.HINFP,-0.028395172583514802,TF_decrease,0.09097938506670916_KS,0.07338028632347472,0.21685805668753189,False,False
56,MA1929.1.CTCF,0.0138040819621729,TF_increase,0.09428398640335328_KS,0.03741179994375128,0.14098473602963987,False,False
57,MA0640.1.ELF3,0.11328404360743595,TF_increase,0.15968387854573032_KS,0.0020607674933737132,0.021628428925782057,True,False
58,MA0502.2.NFYB,0.0791549887712662,TF_increase,0.17665601811943277_KS,0.019079534023829378,0.08927631961983497,False,False
59,MA0139.2.CTCF,-0.028400664411745054,TF_decrease,0.05003327471694454_KS,0.4745525004256299,0.6903140647383192,False,False
60,MA0799.3.RFX4,-0.2247777161987689,TF_decrease,0.2807031419594882_KS,3.851778268854947e-13,7.209244993206842e-11,True,True
61,MA1711.2.ZNF343,0.1110644658372904,TF_increase,0.1530063436609359_KS,6.662175058921546e-06,0.0003252879387464738,True,True
62,MA0095.2.YY1,0.1776512349785806,TF_increase,0.21406176906769117_KS,0.10284432395779251,0.26550385242437013,False,False
63,MA1561.2.SOX12,-0.030370778113347503,TF_decrease,0.12141139456769111_KS,0.027576209468760958,0.11385324718168587,False,False
64,MA0823.1.HEY1,0.05386053831175175,TF_increase,0.12648605183398282_KS,0.07732102216287769,0.2261237184607074,False,False
65,MA0649.2.HEY2,0.026459378689627052,TF_increase,0.07037606268069602_KS,0.6001376100603479,0.7756659325212666,False,False
66,MA0616.3.HES2,0.11986679477201165,TF_increase,0.17486437613019892_KS,0.002305142444476996,0.02251021708824058,True,False
67,MA0048.3.NHLH1,0.0073051198192237,TF_increase,0.08029662315376601_KS,0.1988472349333211,0.4166146358770888,False,False
68,MA0745.1.SNAI2,-0.12014380141230875,TF_decrease,0.21271929824561403_KS,0.0014074178666140923,0.017184740451107863,True,False
69,MA0740.1.KLF14,0.0530872740623029,TF_increase,0.09155031995346131_KS,0.06358168775178613,0.19633866091529115,False,False
70,MA0650.2.HOXA13,-0.10686691195623499,TF_decrease,0.19116427210040082_KS,0.05095123271696006,0.17286475631766207,False,False
71,MA0865.2.E2F8,0.0610114356500686,TF_increase,0.0959348461645552_KS,0.00011243288810830246,0.003378984666350763,True,True
72,MA0750.2.ZBTB7A,-0.0598555631766656,TF_decrease,0.0845486607568392_KS,0.055057759292452435,0.1807890751035792,False,False
73,MA0464.2.BHLHE40,-0.06489291015393214,TF_decrease,0.10774341277775987_KS,0.02262010859244231,0.0988419531101662,False,False
74,MA0093.2.USF1,-0.0061290170699139,TF_decrease,0.08899755759177494_KS,0.7141511682440241,0.8328055679522732,False,False
75,MA0162.4.EGR1,-0.0031988930318476,TF_decrease,0.03802565051177704_KS,0.925425943056848,0.9613814376066978,False,False
76,MA0819.2.CLOCK,0.21563733196209137,TF_increase,0.26008478650408634_KS,3.653038421376655e-07,2.5639763420037398e-05,True,True
77,MA2121.1.ZNF213,0.0284430678768939,TF_increase,0.03962734264976709_KS,0.9238170508032338,0.9611328165413225,False,False
78,MA0499.3.MYOD1,-0.0932966855331726,TF_decrease,0.14514225776845419_KS,0.016030088503573618,0.0782686495196225,False,False
