,ID,1gDNA_count,1cDNA_count,3gDNA_count,3cDNA_count,1gDNA_count_pseudocounts,1cDNA_count_pseudocounts,3gDNA_count_pseudocounts,3cDNA_count_pseudocounts,1gDNA_count_pseudocounts_rel_freq,1cDNA_count_pseudocounts_rel_freq,3gDNA_count_pseudocounts_rel_freq,3cDNA_count_pseudocounts_rel_freq,gDNA_count_pseudocounts_rel_freq_average_replicates,cDNA_count_pseudocounts_rel_freq_average_replicates,score_1,score_1_log2,score_3,score_3_log2,score_1_log2_norm,score_3_log2_norm,score_log2_norm_average,filtered_score
0,1EGR,14178,40980,42998,5903,14179,40981,42999,5904,0.016362455095279366,0.006332962605989155,0.02216590690824287,0.006838763184658189,0.019264181001761117,0.0065858628953236725,0.38704232152889084,-1.3694367669632597,0.3085262070696078,-1.6965350537994714,-1.3782737867272639,-1.6799373488728222,-1.529105567800043,-1.529105567800043
1,1EGR_2EGR,221,443,714,45,222,444,715,46,0.0002561862635695055,6.861314748442412e-05,0.00036858120978147516,5.328304649293304e-05,0.0003123837366754903,6.0948096988678577e-05,0.2678252398408113,-1.9006361682904154,0.1445625687878217,-2.7902340475420186,-1.9094731880544196,-2.7736363426153696,-2.3415547653348945,-2.3415547653348945
2,1EGR_2EGR_3EGR,19,2,70,0,20,3,71,1,2.307984356482032e-05,4.6360234786773055e-07,3.6600371880398236e-05,1.1583270976724575e-06,2.9840107722609277e-05,8.109647227700941e-07,0.020086892988060847,-5.6376017624566215,0.03164795979280236,-4.981743691437962,-5.646438782220626,-4.965145986511312,-5.305792384365969,-5.305792384365969
3,1EGR_2EGR_3MYB,5,2,30,1,6,3,31,2,6.923953069446095e-06,4.6360234786773055e-07,1.5980444060455568e-05,2.316654195344915e-06,1.1452198564950831e-05,1.3901282716063227e-06,0.06695630996020284,-3.900636168290415,0.1449680738896108,-2.786192882320155,-3.909473188054419,-2.769595177393506,-3.3395341827239626,-3.3395341827239626
4,1EGR_2MYB,134,2325,496,863,135,2326,497,864,0.00015578894406253715,0.00035944635371344707,0.00025620260316278764,0.0010007946123890034,0.0002059957736126624,0.0006801204830512252,2.3072648439619523,1.2061836161319723,3.9062624658544634,1.965788888667903,1.1973465963679681,1.9823865935945522,1.58986659498126,1.58986659498126
5,1EGR_2MYB_3EGR,19,8,64,4,20,9,65,5,2.307984356482032e-05,1.3908070436031916e-06,3.350738270740683e-05,5.7916354883622876e-06,2.8293613136113575e-05,3.5912212659827395e-06,0.06026067896418254,-4.052639261735465,0.17284654963761292,-2.5324362900743718,-4.06147628149947,-2.5158385851477227,-3.2886574333235963,-3.2886574333235963
6,1EGR_2MYB_3MYB,8,8,25,8,9,9,26,9,1.0385929604169143e-05,1.3908070436031916e-06,1.3402953082962734e-05,1.0424943879052117e-05,1.1894441343565938e-05,5.907875461327655e-06,0.13391261992040565,-2.9006361682904154,0.7778094733692581,-0.36251128863205934,-2.9094731880544193,-0.34591358370541014,-1.6276933858799147,-1.6276933858799147
7,1EGR_3EGR,609,2538,1728,728,610,2539,1729,729,0.0007039352287270197,0.00039236212041205597,0.0008912963800170217,0.0008444204542032215,0.0007976158043720207,0.0006183912873076388,0.5573838393080491,-0.8432569210931581,0.947407027712931,-0.07794372124862413,-0.8520939408571622,-0.06134601632197496,-0.4567199785895686,-0.4567199785895686
8,1EGR_3MYB,165,799,617,184,166,800,618,185,0.00019156270158800863,0.00012362729276472814,0.0003185778848181142,0.00021429051306940465,0.0002550702932030614,0.0001689589029170664,0.6453620237127984,-0.6318194098626152,0.6726471713243675,-0.5720781393213418,-0.6406564296266193,-0.5554804343946926,-0.598068432010656,-0.598068432010656
9,1MYB,6925,118812,16424,21263,6926,118813,16425,21264,0.007992549826497277,0.018360661919069557,0.008467057861063958,0.024630667404907138,0.008229803843780617,0.021495664661988347,2.2972220777653996,1.1998903321202294,2.908999537864512,1.5405230672458408,1.1910533123562252,1.55712077217249,1.3740870422643576,1.3740870422643576
10,1MYB_2EGR,95,1159,280,738,96,1160,281,739,0.00011078324911113752,0.0001792595745088558,0.00014485499293509724,0.0008560037251799461,0.00012781912102311738,0.0005176316498444009,1.618110824038235,0.6943104210033629,5.909383638322232,2.563007661991945,0.6854734012393588,2.579605366918594,1.6325393840789766,1.6325393840789766
11,1MYB_2EGR_3EGR,11,5,30,2,12,6,31,3,1.384790613889219e-05,9.272046957354611e-07,1.5980444060455568e-05,3.4749812930173726e-06,1.4914175099673879e-05,2.201092994376417e-06,0.06695630996020284,-3.900636168290415,0.21745211083441623,-2.2012303815989984,-3.909473188054419,-2.1846326766723494,-3.047052932363384,-3.047052932363384
12,1MYB_2EGR_3MYB,3,0,13,2,4,1,14,3,4.615968712964064e-06,1.5453411595591018e-07,7.216974736979933e-06,3.4749812930173726e-06,5.916471724971999e-06,1.8147577044866415e-06,0.03347815498010141,-4.900636168290415,0.48150110256192175,-1.0543889932697272,-4.909473188054419,-1.037791288343078,-2.9736322381987486,-2.9736322381987486
13,1MYB_2MYB,65,14170,203,1764,66,14171,204,1765,7.616348376390705e-05,0.002189902957211203,0.0001051616318817076,0.0020444473273918875,9.066255782280732e-05,0.0021171751423015453,28.75266268018286,4.845623659905038,19.441000399191314,4.281030554253768,4.8367866401410335,4.297628259180417,4.567207449660725,4.567207449660725
